No,Question,BT Level,DoK
1,Define green house effect.,1,1
2,What is the major factor for ozone hole in the atmosphere?,1,1
3,List the harmful effects of burning fossil fuels.,1,1
4,Where did the scientist find the ozone hole in the atmosphere?,1,1
5,What’s the difference between weather and climate?,1,1
6,Is climate change caused by humans?,1,1
7,How is climate change affecting the lives of animals?,1,1
8,What are the main threats caused by climate change?,1,1
9,List out few solutions to solve climate change,1,1
10,Name few green house gases.,1,
11,Recall the atmospheric layers starting from closest to the surface to the top of the atmosphere,1,1
12,What absorbs ultra-violet rays in stratosphere?,1,1
13,What is thrown in atmosphere by volcanic eruptions?,1,
14,what is global warming?,1,1
15,list out some examples of renewable resources.,1,1
16,what are the most visible signs of global warming?,1,1
17,what are the major causes of air pollution  ,1,1
18,how does agriculture effect climate change?,1,1
19,what are carbon emissions? ,1,1
20,what are the five effects of climate change? ,1,1
21,Name the biggest cause of global warming.,1,1
22,how will climate change effect humans? ,1,1
23,list 4 ways to manage climate change. ,1,1
24,How can you save energy at home?,1,1
25,What is the most abundant green house gas in the atmosphere?,1,1
26,Explain other causes of climate change besides human interaction.,2,2
27,"Give a brief description of how the Earth's temperature has changed throughout the last 800,000 years",2,2
28,"Explain the role of aerosols, permanent gases and variable gases in climate.",2,2
29,"Explain the main cause of climate change, how it impacts the environment and its consequences for the poor.",2,3
30,Illustrate the reasons why some countries produce more carbon emissions than other countries,2,3
31,Explain why preventing global warming is important for you.,2,2
32,Demonstrate how green house gases keep our planet warm.,2,2
33,Whyis doomand gloom messaging not working?,,
34,Whya,,
35,"Refrigerants are considered to be a necessity in modem living, but are said to be responsible for ozone holes detected in Antarctica. Justify. ",5,3
36,,,
37,Identify five ways that your life would be different if you lived near the Amazon rain forest ,3,3
38,Construct ways how people could respond to the issue of climate change.,3,3
39,Build an action plan to reduce the effects of global warming. ,3,4
40,Examine what natural disasters are linked to climate change.,4,3
41,Analyze how climate change effects the life of human. ,4,4
42,Examine the different sources of renewable resources ,4,3
43,Analyze the connection between sustainability and climate change. ,4,4
44,Examine the relationship between globalization and climate change. ,4,3
45,Compare the various goals of NGO'S in climate change. ,5,2
46,Critize the current laws regarding environment protection. ,5,3
47,Analyze the role of political influence in protecting the environment. ,4,4
48,Asses some of the greener alternatives to plastic. ,5,3
49,Should there be a binding international environmental constitution? justify ,5,4
50,Evaluate the key concepts of environmentalism ,5,3
51,Discuss the influence of green political parties in protection of environment.,6,4
52,Discuss the most significant causes of climate change.,6,3
53,Elaborate how deforestation affects the climate.,6,3
54,Discuss the advantages of green engineering,6,3
55,Brainstorm how and why human beings change the natural environment,4,4
56,"Identify the problems, responses and benefits of a forest regeneration project",4,4
57,Formulate a plan to conserve energy at your home. ,6,4
58,Propose 3 solutions how you would solve the issue of climate change.,6,3
59,“Balance” is a key word when assessing climate change and our role in influencing change – one way or the other. The industrial revolution and the on-going industrialization of the world have tipped the balance of CO2 in the atmosphere. Discuss some ways that both industry and individuals can help redress the balance.,6,4
60,"What are some of the things we could change in the way we live and work to help decrease the amount of CO2 we emit into the atmosphere? What would we, as individuals, be willing to give up, to help this process? ",6,4
61,What is the connection between global warming and increased levels of water vapour?,5,2
62,What might be one solution to the problem of increased methane? Could the methane be trapped and used in other ways? Discuss how methane gas is used already in different parts of the world. ,6,3
63,What is the relationship between the global carbon cycle and the ocean?,4,3
64,Which is more of a problem for global warming – population growth or industrial growth? Or is it a matter of how industry operates and grows? ,5,4
65,Give an example of a situation where you would use behavioral sciences to solve the problem. Elaborate ,6,4
66,Compare polar regions (with glaciers and snow-and-ice cover) to temperate regions. Which region is likely to experience a sharper temperature rise? Compare,5,3
67,"Co2 Is Already In The Atmosphere Naturally, So Why Are Emissions From Human Activity Significant?",5,3
68,What effect does global warming have on food production? What kind of impact does this effect have on rich and poor countries?,5,4
69,How many different types of renewable energy are there? Identify the best one according to you and justify your answer ,3,2
70,"Asses what is meant by energy efficiency, and why increasing efficiency does not lower the amount of total energy consumed.",5,4
71,"Discuss the future of carbon emissions.If restrictions were to be imposed, where would the greatest difference be made, who would need to be restricted, what are the options for carbon sequestration, and how would that contribute to energy costs?",6,4
72,"In your opinion, what kind of energy should we be investing in for the future and why?",5,4
